scholarship_id,title,field,eligibility,description,deadline,funding_type,eligible_countries
S0137,Arts Excellence Scholarship 137,Education,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Medical Research. Research grant available.,2026-05-02,Full,"UK, India, Germany"
S0138,Data Science Excellence Scholarship 138,Computer Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Legal Studies. Partial funding available.,2026-05-24,Partial,"UAE, Canada, Germany"
S0139,Medicine Excellence Scholarship 139,Engineering,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Computer Science students focusing on Machine Learning. Full tuition coverage available.,2026-10-03,Full,"India, Australia, UK"
S0140,Law Excellence Scholarship 140,Education,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Engineering students focusing on Environmental Conservation. Full tuition coverage available.,2026-03-24,Partial,"India, Australia, South Africa"
S0141,Engineering Excellence Scholarship 141,Law,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Engineering students focusing on Legal Studies. Partial funding available.,2026-09-09,Partial,"USA, India, South Africa"
S0142,Arts Excellence Scholarship 142,Environmental Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Data Science students focusing on Web Development. Partial funding available.,2026-10-04,Research Grant,"India, Japan, Germany"
S0143,Data Science Excellence Scholarship 143,Arts,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Creative Arts. Partial funding available.,2025-12-23,Partial,"UAE, Brazil, Canada"
S0144,Arts Excellence Scholarship 144,Education,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Business students focusing on Data Analysis. Full tuition coverage available.,2026-10-07,Research Grant,"Brazil, USA, Australia"
S0145,Arts Excellence Scholarship 145,Data Science,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Education students focusing on Web Development. Research grant available.,2026-05-02,Full,"Australia, Japan, USA"
S0146,Arts Excellence Scholarship 146,Medicine,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Education Technology. Research grant available.,2026-10-05,Partial,"UK, Australia, South Africa"
S0147,Data Science Excellence Scholarship 147,Business,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on AI. Research grant available.,2026-03-16,Research Grant,"UAE, UK, USA"
S0148,Medicine Excellence Scholarship 148,Law,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Data Science students focusing on Web Development. Research grant available.,2025-12-25,Full,"Australia, South Africa, Brazil"
S0149,Data Science Excellence Scholarship 149,Law,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Law students focusing on Medical Research. Partial funding available.,2026-08-07,Partial,"Brazil, South Africa, India"
S0150,Computer Science Excellence Scholarship 150,Computer Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Web Development. Research grant available.,2026-04-09,Partial,"UK, USA, Canada"
S0151,Medicine Excellence Scholarship 151,Data Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Computer Science students focusing on Web Development. Partial funding available.,2026-08-10,Research Grant,"India, Canada, Germany"
S0152,Medicine Excellence Scholarship 152,Business,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Arts students focusing on Machine Learning. Partial funding available.,2026-06-02,Research Grant,"India, UAE, Germany"
S0153,Environmental Science Excellence Scholarship 153,Arts,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on AI. Full tuition coverage available.,2026-08-06,Partial,"India, South Africa, Australia"
S0154,Education Excellence Scholarship 154,Engineering,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on Education Technology. Research grant available.,2026-10-05,Full,"Australia, South Africa, UK"
S0155,Education Excellence Scholarship 155,Environmental Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Engineering students focusing on Education Technology. Research grant available.,2026-07-19,Partial,"USA, Australia, Japan"
S0156,Computer Science Excellence Scholarship 156,Data Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Engineering students focusing on Creative Arts. Research grant available.,2026-08-21,Partial,"UK, South Africa, USA"
S0157,Data Science Excellence Scholarship 157,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Medical Research. Partial funding available.,2026-08-09,Research Grant,"Australia, Japan, Brazil"
S0158,Computer Science Excellence Scholarship 158,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Data Science students focusing on AI. Full tuition coverage available.,2026-01-12,Full,"Germany, Brazil, USA"
S0159,Computer Science Excellence Scholarship 159,Medicine,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Data Science students focusing on Creative Arts. Partial funding available.,2026-10-08,Full,"USA, Canada, India"
S0160,Data Science Excellence Scholarship 160,Environmental Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Data Analysis. Full tuition coverage available.,2026-09-28,Full,"UK, USA, Australia"
S0161,Education Excellence Scholarship 161,Education,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Education students focusing on Machine Learning. Full tuition coverage available.,2026-09-23,Research Grant,"Japan, UK, Canada"
S0162,Law Excellence Scholarship 162,Computer Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Law students focusing on AI. Partial funding available.,2026-01-29,Full,"UK, Brazil, India"
S0163,Medicine Excellence Scholarship 163,Computer Science,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Computer Science students focusing on Environmental Conservation. Research grant available.,2026-02-24,Research Grant,"Germany, South Africa, Japan"
S0164,Environmental Science Excellence Scholarship 164,Law,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Data Science students focusing on Machine Learning. Research grant available.,2026-02-10,Full,"Japan, Germany, Brazil"
S0165,Medicine Excellence Scholarship 165,Data Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Legal Studies. Research grant available.,2026-07-04,Research Grant,"USA, Brazil, India"
S0166,Environmental Science Excellence Scholarship 166,Environmental Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Business students focusing on Business Management. Partial funding available.,2026-03-15,Partial,"UAE, South Africa, Brazil"
S0167,Data Science Excellence Scholarship 167,Medicine,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Data Science students focusing on Medical Research. Partial funding available.,2026-07-14,Partial,"USA, South Africa, Canada"
S0168,Engineering Excellence Scholarship 168,Law,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Law students focusing on Environmental Conservation. Partial funding available.,2026-05-19,Partial,"Germany, Japan, South Africa"
S0169,Education Excellence Scholarship 169,Engineering,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Engineering students focusing on Medical Research. Research grant available.,2026-08-08,Partial,"Germany, UK, Brazil"
S0170,Education Excellence Scholarship 170,Law,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Medicine students focusing on Machine Learning. Research grant available.,2026-02-19,Full,"India, UAE, UK"
S0171,Education Excellence Scholarship 171,Environmental Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Data Science students focusing on Machine Learning. Partial funding available.,2026-03-04,Full,"India, USA, Canada"
S0172,Business Excellence Scholarship 172,Medicine,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Computer Science students focusing on Data Analysis. Full tuition coverage available.,2026-05-16,Research Grant,"USA, Canada, UK"
S0173,Business Excellence Scholarship 173,Business,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Legal Studies. Research grant available.,2026-10-25,Full,"Japan, South Africa, India"
S0174,Computer Science Excellence Scholarship 174,Environmental Science,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Computer Science students focusing on Education Technology. Research grant available.,2026-07-21,Full,"India, UAE, UK"
S0175,Environmental Science Excellence Scholarship 175,Computer Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Law students focusing on AI. Research grant available.,2026-03-01,Partial,"Germany, UK, Australia"
S0176,Medicine Excellence Scholarship 176,Data Science,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Data Science students focusing on Legal Studies. Research grant available.,2025-12-25,Partial,"Brazil, USA, Japan"
S0177,Law Excellence Scholarship 177,Data Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Machine Learning. Research grant available.,2026-11-02,Research Grant,"UAE, Australia, South Africa"
S0178,Education Excellence Scholarship 178,Law,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Web Development. Full tuition coverage available.,2026-09-01,Full,"Brazil, India, Canada"
S0179,Medicine Excellence Scholarship 179,Environmental Science,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Engineering students focusing on Legal Studies. Research grant available.,2026-07-07,Full,"South Africa, Japan, Brazil"
S0180,Law Excellence Scholarship 180,Law,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Legal Studies. Full tuition coverage available.,2026-05-31,Research Grant,"Brazil, Canada, Germany"
S0181,Law Excellence Scholarship 181,Medicine,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Engineering students focusing on Medical Research. Full tuition coverage available.,2026-04-21,Full,"Australia, Germany, Japan"
S0182,Environmental Science Excellence Scholarship 182,Engineering,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Business students focusing on Medical Research. Partial funding available.,2026-10-02,Partial,"USA, South Africa, UK"
S0183,Computer Science Excellence Scholarship 183,Engineering,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Education students focusing on Legal Studies. Partial funding available.,2026-04-24,Research Grant,"UAE, Canada, USA"
S0184,Law Excellence Scholarship 184,Medicine,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Data Science students focusing on Medical Research. Full tuition coverage available.,2026-09-16,Research Grant,"India, Brazil, Germany"
S0185,Medicine Excellence Scholarship 185,Computer Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Business students focusing on Machine Learning. Research grant available.,2026-07-16,Research Grant,"Australia, Canada, UK"
S0186,Business Excellence Scholarship 186,Education,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Data Science students focusing on Education Technology. Partial funding available.,2026-09-19,Partial,"South Africa, USA, Canada"
S0187,Law Excellence Scholarship 187,Medicine,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Medicine students focusing on Legal Studies. Partial funding available.,2026-09-01,Partial,"USA, South Africa, UK"
S0188,Medicine Excellence Scholarship 188,Business,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Environmental Science students focusing on Environmental Conservation. Full tuition coverage available.,2026-09-30,Research Grant,"USA, Canada, India"
S0189,Education Excellence Scholarship 189,Arts,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Computer Science students focusing on Machine Learning. Research grant available.,2026-07-12,Research Grant,"Germany, Canada, Japan"
S0190,Education Excellence Scholarship 190,Arts,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Law students focusing on Environmental Conservation. Research grant available.,2026-05-15,Research Grant,"Japan, USA, UK"
S0191,Engineering Excellence Scholarship 191,Environmental Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Data Science students focusing on Environmental Conservation. Research grant available.,2026-10-27,Research Grant,"Brazil, South Africa, India"
S0192,Law Excellence Scholarship 192,Arts,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Legal Studies. Full tuition coverage available.,2026-10-14,Full,"USA, India, UAE"
S0193,Arts Excellence Scholarship 193,Business,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Arts students focusing on Business Management. Partial funding available.,2025-12-10,Partial,"UAE, India, Australia"
S0194,Computer Science Excellence Scholarship 194,Data Science,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Arts students focusing on Machine Learning. Partial funding available.,2026-10-17,Partial,"Canada, Japan, Germany"
S0195,Medicine Excellence Scholarship 195,Environmental Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Data Science students focusing on Machine Learning. Partial funding available.,2026-04-28,Research Grant,"India, Germany, South Africa"
S0196,Business Excellence Scholarship 196,Computer Science,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Data Science students focusing on Data Analysis. Partial funding available.,2026-01-19,Full,"USA, Canada, Australia"
S0197,Medicine Excellence Scholarship 197,Medicine,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Computer Science students focusing on Web Development. Full tuition coverage available.,2026-05-30,Research Grant,"UK, India, South Africa"
S0198,Engineering Excellence Scholarship 198,Engineering,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Environmental Science students focusing on AI. Full tuition coverage available.,2026-09-15,Full,"Germany, UAE, Australia"
S0199,Data Science Excellence Scholarship 199,Computer Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Business students focusing on AI. Partial funding available.,2026-03-12,Research Grant,"South Africa, India, Japan"
S0200,Environmental Science Excellence Scholarship 200,Environmental Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Engineering students focusing on Medical Research. Partial funding available.,2026-10-27,Full,"Canada, Japan, South Africa"
